,METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
0,3122,0,54,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1,3121,37067,51,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
2,3121,37067,49,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
3,1521,37119,61,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
4,3122,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
5,3122,0,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6,6641,0,33,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
7,6641,0,44,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
8,2560,0,30,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
9,6641,0,43,2,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
10,6641,0,68,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
11,6641,0,25,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
12,1521,37119,44,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
13,1521,37119,41,2,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
14,1521,37119,52,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
15,1521,37119,33,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
16,1521,37119,34,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
17,6642,0,33,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
18,6642,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
19,1521,37119,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
20,3122,0,52,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
21,3122,0,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
22,3122,0,22,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
23,3122,0,23,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
24,6642,0,57,2,5,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
25,1521,37119,29,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
26,1521,37119,59,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
27,1521,37119,30,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
28,1521,37119,29,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
29,1521,37119,50,1,5,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
30,1521,37119,36,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
31,1521,37119,50,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
32,6642,0,27,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
33,1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
34,1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
35,1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
36,6642,0,43,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
37,6642,0,45,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
38,1521,37119,45,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
39,1521,37119,46,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
40,2560,0,67,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
41,1521,37119,43,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
42,3122,0,44,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
43,3122,0,22,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
44,6641,0,52,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
45,1521,0,44,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
46,1521,0,42,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
47,6641,0,61,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
48,6641,0,62,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
49,3121,37067,44,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
50,1521,37119,77,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
51,6641,0,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
