YEAR,MONTH,METAREA,COUNTY,AGE,SEX,RACE,MARST,HISPAN,EDUC,COVIDTELEW,COVIDUNAW,education,marital_status,gender
2020,5,3122,0,54,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,3121,37067,51,2,100,4,0,91,1,1,Some College or Associate Degree,Divorced,Female
2020,5,3121,37067,49,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,1521,37119,61,1,100,1,0,73,2,1,High School or below,Married,Male
2020,5,3122,0,35,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,3122,0,35,1,100,1,0,92,2,1,Some College or Associate Degree,Married,Male
2020,5,6641,0,33,1,100,1,100,73,1,1,High School or below,Married,Male
2020,5,6641,0,44,2,100,1,100,73,1,1,High School or below,Married,Female
2020,5,2560,0,30,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,6641,0,43,1,651,1,0,124,1,2,Graduate or Professional Degree,Married,Male
2020,5,6641,0,68,2,200,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,6641,0,25,2,100,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,3122,0,50,2,810,4,0,81,1,2,Some College or Associate Degree,Divorced,Female
2020,5,1521,37119,44,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,41,1,100,1,0,73,1,2,High School or below,Married,Male
2020,5,1521,37119,46,2,805,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,52,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,1521,37119,33,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,34,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,33,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,6642,0,35,2,100,6,0,111,1,1,Bachelor's,Single,Female
2020,5,1521,37119,54,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,3122,0,52,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,3122,0,54,1,100,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,3122,0,22,2,100,6,0,111,1,2,Bachelor's,Single,Female
2020,5,3122,0,23,1,100,6,0,111,1,2,Bachelor's,Single,Male
2020,5,6642,0,57,2,100,4,0,123,2,2,Graduate or Professional Degree,Divorced,Female
2020,5,1521,37119,29,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,59,2,100,1,0,111,2,2,Bachelor's,Married,Female
2020,5,1521,37119,30,1,200,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,29,2,200,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,50,2,100,4,0,124,2,1,Graduate or Professional Degree,Divorced,Female
2020,5,1521,37119,36,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,1521,37119,50,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,27,2,100,6,0,111,1,1,Bachelor's,Single,Female
