METAREA,COUNTY,AGE,COVIDUNAW,gender,education,race,hispanic,marital_status
3122,0,54,1,Male,Bachelor's,White,Non-Hispanic,Single
3121,37067,51,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
3121,37067,49,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37119,61,1,Male,High School or below,White,Non-Hispanic,Married
3122,0,35,1,Female,Bachelor's,White,Non-Hispanic,Married
3122,0,35,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,33,1,Male,High School or below,White,Hispanic,Married
6641,0,44,1,Female,High School or below,White,Hispanic,Married
2560,0,30,1,Male,High School or below,White,Non-Hispanic,Married
6641,0,43,2,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6641,0,68,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Single
6641,0,25,1,Female,Some College or Associate Degree,White,Non-Hispanic,Single
1521,37119,44,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,41,2,Male,High School or below,White,Non-Hispanic,Married
1521,37119,52,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37119,33,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,34,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,33,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,35,1,Female,Bachelor's,White,Non-Hispanic,Single
1521,37119,54,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
3122,0,52,1,Female,Bachelor's,White,Non-Hispanic,Married
3122,0,54,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
3122,0,22,2,Female,Bachelor's,White,Non-Hispanic,Single
3122,0,23,2,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,57,2,Female,Graduate or Professional Degree,White,Non-Hispanic,Divorced
1521,37119,29,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,59,2,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,30,1,Male,Bachelor's,Black,Non-Hispanic,Married
1521,37119,29,1,Female,Bachelor's,Black,Non-Hispanic,Married
1521,37119,50,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Divorced
1521,37119,36,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,50,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,27,1,Female,Bachelor's,White,Non-Hispanic,Single
1521,37119,26,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37119,26,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37119,26,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,43,1,Male,Some College or Associate Degree,White,Non-Hispanic,Divorced
6642,0,45,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
1521,37119,45,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,46,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
2560,0,67,1,Male,Some College or Associate Degree,White,Non-Hispanic,Divorced
1521,37119,43,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
3122,0,44,1,Male,High School or below,White,Non-Hispanic,Married
3122,0,22,1,Male,High School or below,White,Non-Hispanic,Single
6641,0,52,1,Male,Some College or Associate Degree,White,Non-Hispanic,Divorced
1521,0,44,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,0,42,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,61,1,Female,Bachelor's,Asian,Non-Hispanic,Married
6641,0,62,1,Male,Bachelor's,Asian,Non-Hispanic,Married
3121,37067,44,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
1521,37119,77,1,Male,Bachelor's,White,Non-Hispanic,Married
6641,0,54,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,32,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,28,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,33,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,28,1,Female,Bachelor's,White,Non-Hispanic,Single
1521,37119,47,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Single
1521,37119,64,1,Male,High School or below,Black,Non-Hispanic,Married
2560,0,37,1,Male,High School or below,White,Non-Hispanic,Married
6641,0,63,1,Male,Graduate or Professional Degree,Black,Non-Hispanic,Married
6641,0,64,2,Female,Graduate or Professional Degree,Black,Non-Hispanic,Married
1521,37119,47,1,Male,High School or below,White,Non-Hispanic,Married
1521,37119,43,1,Female,Bachelor's,White,Non-Hispanic,Married
6641,0,53,1,Male,High School or below,Black,Non-Hispanic,Single
3122,0,37,1,Male,High School or below,White,Non-Hispanic,Married
3122,0,32,1,Female,High School or below,Black,Non-Hispanic,Married
6642,0,60,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
1521,0,62,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,52,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,42,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Divorced
2560,0,31,2,Male,High School or below,Black,Non-Hispanic,Single
2560,0,27,1,Female,High School or below,Black,Non-Hispanic,Single
3121,37067,21,1,Male,High School or below,Asian,Non-Hispanic,Single
6642,0,80,2,Male,Bachelor's,White,Non-Hispanic,Married
6641,0,31,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,32,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,31,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Married
1521,37119,35,1,Male,Bachelor's,Black,Non-Hispanic,Married
6641,0,47,2,Male,Bachelor's,White,Non-Hispanic,Married
6641,0,39,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,60,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,61,2,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,36,1,Male,Bachelor's,Black,Non-Hispanic,Single
1521,37119,61,1,Female,High School or below,White,Non-Hispanic,Married
1521,37119,59,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37119,80,1,Female,High School or below,White,Non-Hispanic,Divorced
1521,37119,35,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Single
1521,37119,57,1,Female,Bachelor's,Black,Non-Hispanic,Single
6642,0,37,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,38,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,53,1,Female,Bachelor's,Black,Non-Hispanic,Divorced
1521,37119,60,1,Male,Bachelor's,Black,Non-Hispanic,Single
2560,0,59,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Married
1521,37119,68,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
3121,37067,27,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Single
3122,0,54,1,Female,Bachelor's,White,Non-Hispanic,Divorced
2560,0,50,1,Female,High School or below,White,Non-Hispanic,Divorced
6641,0,38,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,40,1,Female,Bachelor's,Asian,Non-Hispanic,Married
1521,37119,44,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,37119,39,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,61,1,Male,Bachelor's,White,Non-Hispanic,Divorced
1521,0,23,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,0,24,1,Female,Bachelor's,White,Non-Hispanic,Single
6641,0,34,1,Male,Graduate or Professional Degree,Black,Non-Hispanic,Single
6641,0,38,1,Male,Graduate or Professional Degree,Black,Non-Hispanic,Single
1521,37119,57,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,23,2,Male,Bachelor's,White,Non-Hispanic,Single
6641,0,60,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,61,1,Female,Bachelor's,White,Non-Hispanic,Married
3121,37067,21,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Single
1521,37119,35,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
2560,0,28,1,Male,Graduate or Professional Degree,White,Hispanic,Married
2560,0,28,2,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
3122,0,49,2,Female,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37119,49,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,41,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,42,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,67,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,33,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Single
1521,37119,54,1,Female,Bachelor's,Black,Non-Hispanic,Divorced
6642,0,30,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,31,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,31,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,58,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,46,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6641,0,43,2,Male,Bachelor's,White,Non-Hispanic,Married
6641,0,35,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Single
3121,37067,53,1,Male,Bachelor's,White,Non-Hispanic,Married
3121,37067,54,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,42,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,40,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,37119,61,2,Female,High School or below,Black,Non-Hispanic,Married
6641,0,57,2,Female,Graduate or Professional Degree,Black,Non-Hispanic,Divorced
3121,37067,34,1,Male,High School or below,White,Non-Hispanic,Married
3121,37067,29,1,Female,High School or below,White,Non-Hispanic,Married
2560,0,61,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
6642,0,33,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,37,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Divorced
6641,0,39,1,Male,Some College or Associate Degree,White,Hispanic,Single
1521,37119,42,1,Female,High School or below,Black,Non-Hispanic,Married
1521,37119,42,1,Male,High School or below,Black,Non-Hispanic,Married
1521,37119,17,2,Female,High School or below,Black,Non-Hispanic,Single
3122,0,51,1,Female,Bachelor's,White,Non-Hispanic,Divorced
3121,37067,40,1,Male,Bachelor's,Asian,Non-Hispanic,Divorced
1521,0,33,1,Female,Bachelor's,White,Non-Hispanic,Single
3122,0,29,1,Female,High School or below,Black,Non-Hispanic,Single
1521,37119,48,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,46,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,22,1,Female,Bachelor's,White,Non-Hispanic,Single
6642,0,28,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,36,1,Male,Bachelor's,Black,Non-Hispanic,Single
1521,0,61,1,Male,Graduate or Professional Degree,Black,Non-Hispanic,Married
1521,0,64,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Married
6642,0,36,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,61,1,Female,Bachelor's,Black,Non-Hispanic,Single
1521,0,40,1,Male,High School or below,White,Non-Hispanic,Married
1521,0,39,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,49,2,Female,Some College or Associate Degree,Black,Non-Hispanic,Single
6641,0,43,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,39,1,Female,Bachelor's,White,Non-Hispanic,Married
3122,0,64,1,Male,Bachelor's,Asian,Non-Hispanic,Married
3122,0,55,1,Female,Bachelor's,Asian,Non-Hispanic,Married
6642,0,49,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
2560,0,58,1,Male,High School or below,White,Hispanic,Married
6641,0,56,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,58,1,Male,High School or below,White,Non-Hispanic,Married
1521,37119,46,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Single
3121,37067,43,2,Male,Some College or Associate Degree,Black,Non-Hispanic,Single
1521,37119,26,1,Female,Bachelor's,White,Non-Hispanic,Single
1521,37119,27,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37119,34,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,34,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,34,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,35,2,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,47,1,Male,High School or below,Asian,Non-Hispanic,Married
6642,0,35,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,35,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,28,1,Male,High School or below,White,Non-Hispanic,Single
1521,37119,31,1,Male,Bachelor's,Asian,Non-Hispanic,Single
1521,37119,31,1,Male,Bachelor's,Asian,Non-Hispanic,Single
3122,0,57,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
3122,0,24,1,Male,High School or below,White,Non-Hispanic,Single
6641,0,57,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
