METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
3122,0,54,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
3121,37067,51,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
3121,37067,49,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,61,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
3122,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3122,0,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,33,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
6641,0,44,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
2560,0,30,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
6641,0,43,2,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
6641,0,68,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
6641,0,25,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1521,37119,44,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,41,2,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,37119,52,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37119,33,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,34,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,33,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
3122,0,52,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3122,0,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
3122,0,22,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
3122,0,23,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,57,2,5,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1521,37119,29,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,59,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,30,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
1521,37119,29,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1521,37119,50,1,5,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1521,37119,36,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,50,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,27,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,26,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,43,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
6642,0,45,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
1521,37119,45,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,46,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
2560,0,67,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
1521,37119,43,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3122,0,44,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
3122,0,22,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
6641,0,52,1,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
1521,0,44,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,0,42,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,61,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
6641,0,62,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
3121,37067,44,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
1521,37119,77,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,54,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,32,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,28,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,33,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,28,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,47,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
1521,37119,64,1,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
2560,0,37,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
6641,0,63,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
