"location","date","variant","num_sequences","perc_sequences","num_sequences_total"
"Angola","2020-07-06","Alpha",0,0,3
"Angola","2020-07-06","Delta",0,0,3
"Angola","2020-07-06","Omicron",0,0,3
"Angola","2020-08-31","Alpha",0,0,1
"Angola","2020-08-31","Delta",0,0,1
"Angola","2020-08-31","Omicron",0,0,1
"Angola","2020-09-28","Alpha",0,0,10
"Angola","2020-09-28","Delta",0,0,10
"Angola","2020-09-28","Omicron",0,0,10
"Angola","2020-10-12","Alpha",0,0,29
"Angola","2020-10-12","Delta",0,0,29
"Angola","2020-10-12","Omicron",0,0,29
"Angola","2020-10-26","Alpha",0,0,7
"Angola","2020-10-26","Delta",0,0,7
"Angola","2020-10-26","Omicron",0,0,7
"Angola","2020-12-07","Alpha",0,0,6
"Angola","2020-12-07","Delta",0,0,6
"Angola","2020-12-07","Omicron",0,0,6
"Angola","2020-12-21","Alpha",0,0,93
"Angola","2020-12-21","Delta",0,0,93
"Angola","2020-12-21","Omicron",0,0,93
"Angola","2021-01-04","Alpha",0,0,5
"Angola","2021-01-04","Delta",0,0,5
"Angola","2021-01-04","Omicron",0,0,5
"Angola","2021-01-11","Alpha",0,0,16
"Angola","2021-01-11","Delta",0,0,16
"Angola","2021-01-11","Omicron",0,0,16
"Angola","2021-01-25","Alpha",3,5.77,52
"Angola","2021-01-25","Delta",0,0,52
"Angola","2021-01-25","Omicron",0,0,52
"Angola","2021-02-08","Alpha",4,9.52,42
"Angola","2021-02-08","Delta",0,0,42
"Angola","2021-02-08","Omicron",0,0,42
"Angola","2021-02-22","Alpha",1,2.56,39
"Angola","2021-02-22","Delta",0,0,39
"Angola","2021-02-22","Omicron",0,0,39
"Angola","2021-03-08","Alpha",7,6.19,113
"Angola","2021-03-08","Delta",0,0,113
"Angola","2021-03-08","Omicron",0,0,113
"Angola","2021-03-22","Alpha",12,9.92,121
"Angola","2021-03-22","Delta",0,0,121
"Angola","2021-03-22","Omicron",0,0,121
"Angola","2021-04-05","Alpha",32,23.36,137
"Angola","2021-04-05","Delta",0,0,137
"Angola","2021-04-05","Omicron",0,0,137
"Angola","2021-04-19","Alpha",21,25.3,83
"Angola","2021-04-19","Delta",2,2.41,83
"Angola","2021-04-19","Omicron",0,0,83
"Angola","2021-05-03","Alpha",11,32.35,34
"Angola","2021-05-03","Delta",1,2.94,34
"Angola","2021-05-03","Omicron",0,0,34
"Angola","2021-05-17","Alpha",0,0,5
"Angola","2021-05-17","Delta",4,80,5
"Angola","2021-05-17","Omicron",0,0,5
"Angola","2021-05-31","Alpha",7,100,7
"Angola","2021-05-31","Delta",0,0,7
"Angola","2021-05-31","Omicron",0,0,7
